,crps,calibration_score,beta,rho
0,14.632722807017544,0.47214912280701754,0.04,0.13
0,6.277124561403508,0.26162280701754387,0.005,0.14
0,5.27898245614035,0.20899122807017545,0.01,0.14
0,5.775577192982456,0.2835526315789474,0.015,0.14
0,7.349301754385966,0.3800438596491228,0.02,0.14
0,9.2572,0.4195175438596491,0.025,0.14
0,11.651221052631579,0.45460526315789473,0.030000000000000002,0.14
0,14.172880701754385,0.47653508771929826,0.034999999999999996,0.14
0,16.778964912280703,0.48530701754385963,0.04,0.14
0,5.829001754385965,0.21337719298245614,0.005,0.15000000000000002
0,5.234026315789474,0.22653508771929826,0.01,0.15000000000000002
0,6.195910526315789,0.33618421052631575,0.015,0.15000000000000002
0,8.179350877192983,0.3932017543859649,0.02,0.15000000000000002
0,10.541403508771928,0.42390350877192984,0.025,0.15000000000000002
0,13.356108771929824,0.4546052631578947,0.030000000000000002,0.15000000000000002
0,16.427070175438597,0.4853070175438597,0.034999999999999996,0.15000000000000002
0,19.104752631578947,0.48969298245614035,0.04,0.15000000000000002
0,5.437898245614035,0.19583333333333336,0.005,0.16000000000000003
0,5.427745614035088,0.27478070175438596,0.01,0.16000000000000003
0,6.92321052631579,0.36688596491228065,0.015,0.16000000000000003
0,9.318900000000001,0.4107456140350877,0.02,0.16000000000000003
0,12.124705263157898,0.44583333333333336,0.025,0.16000000000000003
0,15.042491228070176,0.46337719298245617,0.030000000000000002,0.16000000000000003
0,18.476150877192982,0.4984649122807018,0.034999999999999996,0.16000000000000003
0,21.51967192982456,0.48969298245614035,0.04,0.16000000000000003
0,5.280615789473684,0.21337719298245617,0.005,0.17000000000000004
0,5.898121052631579,0.30986842105263157,0.01,0.17000000000000004
0,7.791782456140352,0.3668859649122807,0.015,0.17000000000000004
0,10.544259649122806,0.3975877192982456,0.02,0.17000000000000004
0,13.536171929824562,0.44144736842105264,0.025,0.17000000000000004
0,16.989029824561406,0.4721491228070176,0.030000000000000002,0.17000000000000004
0,20.55435964912281,0.4809210526315789,0.034999999999999996,0.17000000000000004
0,24.062414035087716,0.49407894736842106,0.04,0.17000000000000004
0,5.167866666666667,0.20021929824561402,0.005,0.18000000000000005
0,6.147236842105264,0.3449561403508772,0.01,0.18000000000000005
0,8.660963157894738,0.3975877192982456,0.015,0.18000000000000005
0,11.751264912280702,0.42390350877192984,0.02,0.18000000000000005
0,15.306270175438597,0.4765350877192983,0.025,0.18000000000000005
0,18.955559649122804,0.4984649122807018,0.030000000000000002,0.18000000000000005
0,22.680545614035086,0.48530701754385963,0.034999999999999996,0.18000000000000005
