,crps,calibration_score,beta,rho
0,5.763257894736843,0.22653508771929826,0.030000000000000002,0.15000000000000002
0,6.61612456140351,0.2791666666666667,0.034999999999999996,0.15000000000000002
0,7.5593122807017545,0.29232456140350876,0.04,0.15000000000000002
0,8.409622807017545,0.35811403508771933,0.005,0.16000000000000003
0,6.804522807017544,0.2572368421052632,0.01,0.16000000000000003
0,5.829661403508772,0.22653508771929826,0.015,0.16000000000000003
0,5.4540964912280705,0.20021929824561405,0.02,0.16000000000000003
0,5.521414035087719,0.19583333333333333,0.025,0.16000000000000003
0,6.161717543859649,0.21337719298245617,0.030000000000000002,0.16000000000000003
0,7.116094736842105,0.27478070175438596,0.034999999999999996,0.16000000000000003
0,8.48553157894737,0.3625,0.04,0.16000000000000003
0,7.913489473684211,0.3274122807017544,0.005,0.17000000000000004
0,6.426264912280701,0.22653508771929826,0.01,0.17000000000000004
0,5.619775438596491,0.21337719298245614,0.015,0.17000000000000004
0,5.458877192982456,0.18267543859649124,0.02,0.17000000000000004
0,5.777245614035087,0.22653508771929826,0.025,0.17000000000000004
0,6.601668421052633,0.25723684210526315,0.030000000000000002,0.17000000000000004
0,7.986805263157894,0.32741228070175443,0.034999999999999996,0.17000000000000004
0,9.566268421052632,0.36688596491228065,0.04,0.17000000000000004
0,7.551098245614035,0.30986842105263157,0.005,0.18000000000000005
0,6.126342105263158,0.21776315789473685,0.01,0.18000000000000005
0,5.420817543859649,0.20460526315789473,0.015,0.18000000000000005
0,5.487401754385964,0.19583333333333333,0.02,0.18000000000000005
0,6.121475438596492,0.23969298245614035,0.025,0.18000000000000005
0,7.2853280701754395,0.29232456140350876,0.030000000000000002,0.18000000000000005
0,8.829508771929826,0.3581140350877193,0.034999999999999996,0.18000000000000005
0,10.434143859649122,0.4019736842105263,0.04,0.18000000000000005
0,7.168219298245614,0.2791666666666667,0.005,0.19
0,5.8655526315789475,0.22214912280701754,0.01,0.19
0,5.390431578947368,0.20899122807017545,0.015,0.19
