,crps,calibration_score,beta,rho
0,15.332135087719298,0.6125,0.005,0.05
0,15.310743859649122,0.6125,0.01,0.05
0,15.261671929824562,0.6125,0.015,0.05
0,15.205435087719298,0.6125,0.02,0.05
0,15.161061403508773,0.6125,0.025,0.05
0,15.129640350877192,0.6125,0.030000000000000002,0.05
0,15.071033333333334,0.6125,0.034999999999999996,0.05
0,15.051007017543858,0.6125,0.04,0.05
0,15.319747368421053,0.6125,0.005,0.060000000000000005
0,15.262349122807016,0.6125,0.01,0.060000000000000005
0,15.20931754385965,0.6125,0.015,0.060000000000000005
0,15.16439298245614,0.6125,0.02,0.060000000000000005
0,15.118105263157894,0.6125,0.025,0.060000000000000005
0,15.031080701754387,0.6125,0.030000000000000002,0.060000000000000005
0,15.001652631578947,0.6125,0.034999999999999996,0.060000000000000005
0,14.954591228070177,0.6125,0.04,0.060000000000000005
0,15.275054385964914,0.6125,0.005,0.07
0,15.200728070175437,0.6125,0.01,0.07
0,15.160877192982456,0.6125,0.015,0.07
0,15.083136842105263,0.6125,0.02,0.07
0,15.031919298245613,0.6125,0.025,0.07
0,14.96228947368421,0.6125,0.030000000000000002,0.07
0,14.93852807017544,0.6125,0.034999999999999996,0.07
0,14.861475438596491,0.6125,0.04,0.07
0,15.254817543859648,0.6125,0.005,0.08000000000000002
0,15.164770175438596,0.6125,0.01,0.08000000000000002
0,15.097070175438597,0.6125,0.015,0.08000000000000002
0,15.031185964912279,0.6125,0.02,0.08000000000000002
0,14.971829824561402,0.6125,0.025,0.08000000000000002
0,14.905761403508773,0.6125,0.030000000000000002,0.08000000000000002
0,14.829573684210525,0.6125,0.034999999999999996,0.08000000000000002
0,14.796850877192982,0.6125,0.04,0.08000000000000002
0,15.181936842105264,0.6125,0.005,0.09000000000000001
0,15.14755614035088,0.6125,0.01,0.09000000000000001
0,15.042471929824561,0.6125,0.015,0.09000000000000001
0,14.972154385964913,0.6125,0.02,0.09000000000000001
0,14.909849122807017,0.6125,0.025,0.09000000000000001
0,14.837138596491231,0.6125,0.030000000000000002,0.09000000000000001
0,14.788122807017544,0.6125,0.034999999999999996,0.09000000000000001
0,14.690233333333333,0.6125,0.04,0.09000000000000001
0,15.188584210526315,0.6125,0.005,0.1
0,15.080438596491229,0.6125,0.01,0.1
0,15.00397192982456,0.6125,0.015,0.1
0,14.91364210526316,0.6125,0.02,0.1
0,14.842263157894736,0.6125,0.025,0.1
0,14.760284210526315,0.6125,0.030000000000000002,0.1
0,14.729629824561405,0.6125,0.034999999999999996,0.1
0,14.624436842105265,0.6125,0.04,0.1
0,15.117447368421054,0.6125,0.005,0.11000000000000001
0,15.056152631578946,0.6125,0.01,0.11000000000000001
0,14.96421403508772,0.6125,0.015,0.11000000000000001
0,14.87467543859649,0.6125,0.02,0.11000000000000001
0,14.815608771929826,0.6125,0.025,0.11000000000000001
0,14.707829824561403,0.6125,0.030000000000000002,0.11000000000000001
0,14.600782456140351,0.6125,0.034999999999999996,0.11000000000000001
0,14.584968421052633,0.6125,0.04,0.11000000000000001
0,15.10248596491228,0.6125,0.005,0.12000000000000001
0,15.012124561403509,0.6125,0.01,0.12000000000000001
0,14.910515789473685,0.6125,0.015,0.12000000000000001
