path flow name node_id
22:1 0.000661543 "92" 92
23:1 0.000488967 "182" 182
24:1 0.000431441 "168" 168
25:1 0.000402679 "206" 206
26:1 0.000373916 "156" 156
27:1 0.000373916 "196" 196
28:1 0.000345153 "172" 172
29:1 0.000345153 "171" 171
30:1 0.000345153 "215" 215
31:1 0.000345153 "218" 218
32:1 0.000287628 "191" 191
33:1 0.000287628 "214" 214
34:1 0.000230102 "210" 210
35:1 0.000230102 "217" 217
36:1 0.000172577 "213" 213
37:1 0.000172577 "72" 72
38:1 0.000143814 "190" 190
39:1 0.000143814 "207" 207
40:1 0.000115051 "121" 121
41:1 8.62883e-05 "198" 198
42:1 8.62883e-05 "205" 205
43:1 5.75255e-05 "192" 192
44:1 2.87628e-05 "194" 194
45:1 2.87628e-05 "204" 204
46:1 2.87628e-05 "211" 211
47:1 2.87628e-05 "212" 212
